ETP239839,29-Sep-15,09-Nov-15,23-Nov-15,3355.59,9.325
ETP239840,29-Sep-15,09-Nov-15,23-Nov-15,2529.38,9.325
ETP239841,29-Sep-15,09-Nov-15,23-Nov-15,212000.05,9.325
ETP239842,29-Sep-15,09-Nov-15,23-Nov-15,51298.39,9.325
ETP239870,29-Sep-15,09-Nov-15,23-Nov-15,14732.12,9.325
ETP239871,29-Sep-15,09-Nov-15,23-Nov-15,3738.66,9.325
ETP239872,29-Sep-15,09-Nov-15,23-Nov-15,174434.34,9.325
ETP239873,29-Sep-15,09-Nov-15,23-Nov-15,59039.89,9.325
ETP239874,29-Sep-15,09-Nov-15,23-Nov-15,33666.35,9.325
ETP239875,29-Sep-15,09-Nov-15,23-Nov-15,13055.48,9.325
ETP239876,29-Sep-15,09-Nov-15,23-Nov-15,856.37,9.325
ETP240243,29-Sep-15,09-Nov-15,23-Nov-15,8362.4,9.325
ETP240244,29-Sep-15,09-Nov-15,23-Nov-15,7967.62,9.325
ETP240245,29-Sep-15,09-Nov-15,23-Nov-15,15547.36,9.325
ETP240246,29-Sep-15,09-Nov-15,23-Nov-15,2683.3,9.325
